Number,Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Cr,Mn,Co,Ni,Rb,Sr,Y,Zr,Ba,Nd,Eu,Yb,Lu,Ta,U,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,Rb_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Yb_clr,Lu_clr,Ta_clr,U_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
1,    Ap22C05,CRD,BEARTOOTH,yes,Slave,11650,53630,6939,258200,111200,35.78,612.9,8843,520.5,11.91,188.4,0.22,144.6,2.03,9.45,3.92,8.27,0.49,0.11,0.01,0.03,0.01,5.70,7.23,5.19,8.80,7.96,-0.08,2.76,5.43,2.60,-1.18,1.58,-5.17,1.32,-2.95,-1.41,-2.29,-1.55,-4.37,-5.87,-8.26,-7.17,-8.26,0.078423041,-0.024469602,-0.074810076,0.119473811,-0.046518524,-0.113637151,-0.042182762,-0.024888848,-0.025172948,-0.011380939,0.021668444,0.0020236,-0.006437459,0.018549979,0.030228046,0.021153929,-0.005581251,-0.004840147,-0.007730061,0.022893124,-0.016225648,-1.15E-15
2,    Ap22C06,CRD,BEARTOOTH,yes,Slave,3933,59170,12720,255500,117400,10.16,403.4,4057,448.2,17.07,273,16.74,173.1,0.95,8.75,71.6,10.55,0.33,0.07,0.007201763,0.8,0.12,4.20,6.91,5.37,8.37,7.60,-1.76,1.92,4.23,2.03,-1.24,1.53,-1.26,1.08,-4.13,-1.91,0.19,-1.72,-5.19,-6.74,-9.01,-4.30,-6.20,0.355194498,-0.256275236,0.238464423,-0.075294669,-0.038161593,0.092088801,-0.047432174,-0.078375522,0.063063408,0.07770196,-0.092435783,0.072640284,0.006898668,-0.037780493,-0.063845648,0.060437063,0.044199408,0.004841402,-0.032273193,-0.003518127,0.003783418,8.26E-16
3,    Ap22C07,CRD,BEARTOOTH,yes,Slave,9894,44760,9163,257100,113300,16.1,748.6,8787,490.9,15.72,259,8.17,199.4,1.44,10.26,84.61,12.08,0.44,0.031200232,0.01,0.5,0.04,5.09,6.60,5.02,8.35,7.53,-1.33,2.51,4.98,2.09,-1.35,1.45,-2.01,1.19,-3.74,-1.78,0.33,-1.61,-4.93,-7.57,-8.71,-4.80,-7.32,0.323641948,-0.22911136,0.161256787,-0.080307988,-0.132885034,-0.024301003,-0.05294354,-0.013915068,0.104565872,0.021388215,0.057273801,0.04655075,0.014225698,-0.027306308,-0.024506463,0.016668139,0.015901499,0.001237797,0.039880398,0.012777398,-0.011686039,-5.88E-16
4,    Ap22C08,CRD,BEARTOOTH,yes,Slave,11150,52360,13930,257700,105800,11.16,332.4,7807,501.5,16.26,306,0.19,123.2,0.71,3.93,1.12,5.25,0.23,0.028643604,0.005283566,0.02,0.01,6.01,7.56,6.23,9.15,8.26,-0.90,2.50,5.65,2.91,-0.52,2.41,-4.97,1.50,-3.65,-1.94,-3.20,-1.65,-4.78,-6.86,-8.55,-7.22,-7.92,0.045316924,0.1684624,0.036690872,-0.050693331,0.008385821,-0.052657861,-0.025356135,0.024774811,-0.001204412,-0.041398141,-0.011508176,0.032497299,-0.059036048,-0.038556346,-0.01034575,0.000452768,0.02486246,0.025096065,0.004812434,0.000233511,0.006541855,5.59E-16
5,    Ap22C09,CRD,BEARTOOTH,yes,Slave,8670,51250,13160,257300,108900,11.76,473.9,5161,461.8,15.45,231,0.92,137.3,0.75,2.62,20.61,5.18,0.22,0.027270207,0.01,0.08,0.03,5.46,7.24,5.88,8.85,7.99,-1.14,2.55,4.94,2.53,-0.87,1.83,-3.69,1.31,-3.90,-2.64,-0.58,-1.96,-5.12,-7.21,-8.21,-6.13,-7.11,0.160337883,-0.01811604,0.183819141,-0.023197608,-0.031186694,0.063191436,-0.034961711,0.024257103,0.057164433,-0.026626092,0.047415761,0.034611403,-0.002169968,-0.053506371,-0.015956216,0.003931225,0.005576431,0.023001534,-0.017953713,-0.004886087,0.004576141,3.77E-16
6,    Ap27A13,CRD,BEARTOOTH,yes,Slave,33460,79120,14590,254800,134500,190.3,77.44,23740,643.9,12.26,214.6,5.18,1180,10.28,89.08,79.32,102.6,3.27,0.56,0.07,0.36,0.15,5.46,6.32,4.63,7.49,6.85,0.29,-0.61,5.11,1.51,-2.45,0.41,-3.32,2.11,-2.63,-0.47,-0.59,-0.33,-3.78,-5.54,-7.62,-5.98,-6.86,0.369044465,-0.603633884,-0.280683003,0.019496892,0.203059409,-0.064368449,-0.289267871,-0.020556193,-0.088218786,-0.011160022,-0.013318638,-0.009504122,-0.028645566,-0.025036321,0.03745012,-0.049219464,-0.026657966,0.021896331,-0.01257835,0.006877182,-0.00197524,-7.06E-16
7,    Ap27A14,CRD,BEARTOOTH,yes,Slave,15090,92960,10020,256100,143700,16.05,357.2,11170,599.9,17.66,296.5,0.100680944,452.8,1.02,4.93,7.58,18.03,0.37,0.11,0.02,0.04,0.04,5.79,7.61,5.38,8.62,8.04,-1.06,2.04,5.49,2.56,-0.96,1.86,-6.13,2.28,-3.81,-2.24,-1.81,-0.94,-4.83,-6.04,-7.75,-7.05,-7.05,0.173455786,-0.001775909,-0.042001045,0.050824513,0.159313235,0.010934363,-0.024389218,0.025632335,-0.013335864,-0.045728308,-0.026544328,0.029981703,0.086102275,-0.022989123,0.019508906,-0.033539333,-0.034126992,0.001550777,0.005238313,-0.026125308,0.004132956,1.91E-16
8,    Ap27A15,CRD,BEARTOOTH,yes,Slave,15460,93450,13900,258000,137800,18.06,730.3,9029,645,19.44,308.5,0.069961857,147.1,2.09,8.2,1.89,6.37,0.43,0.030386283,0.00554523,0.03,0.01,6.07,7.87,5.96,8.88,8.26,-0.68,3.02,5.53,2.89,-0.61,2.15,-6.24,1.41,-2.84,-1.47,-2.94,-1.73,-4.42,-7.07,-8.77,-7.08,-8.18,0.026913994,0.160972874,-0.019129746,-0.029467038,-0.067969314,-0.10710811,0.018786854,0.017151032,-0.002608999,0.04256947,0.009875971,-0.069388007,-0.020287032,-0.073429368,0.004796718,-0.02134556,0.004664232,0.022205871,-0.007261759,-0.00404363,0.006818507,4.48E-16
9,    Ap27A16,CRD,BEARTOOTH,yes,Slave,14200,87060,11310,257000,127900,10.48,318.5,8329,618.3,19.94,330.1,0.073309567,83.9,0.71,3.68,0.44,4.34,0.29,0.02438176,0.003693751,0.02,0.00560428,6.35,8.16,6.12,9.25,8.55,-0.86,2.55,5.82,3.22,-0.22,2.59,-5.82,1.22,-3.55,-1.91,-4.03,-1.74,-4.45,-6.92,-8.81,-7.12,-8.39,-0.022292729,0.285210542,0.023929747,-0.070221329,0.019371079,-0.134394023,-0.018530969,0.018309135,-0.033050351,0.028965161,-0.033086923,-0.046389543,-0.059622985,-0.048627377,-0.014277135,-0.022155107,-0.006552206,-0.023347888,-0.003584157,0.005682356,-0.005568541,-5.66E-16
10,    Ap27A17,CRD,BEARTOOTH,yes,Slave,8709,101000,6912,257700,148600,11.49,277.6,6023,662.3,19.92,355.7,0.93,151.2,0.56,1.16,11.08,4.77,0.2,0.17,0.006780006,0.01,0.02,5.55,8.00,5.32,8.94,8.39,-1.08,2.10,5.18,2.97,-0.53,2.35,-3.60,1.49,-4.10,-3.38,-1.12,-1.96,-5.13,-5.30,-8.52,-8.13,-7.44,0.06929003,0.130337553,0.160108548,0.108482428,0.130444395,0.007728864,0.009960701,-0.110784008,-0.183279678,-0.032165329,-0.034784601,0.05717772,0.022077634,-0.001434514,0.026536664,-0.007988491,0.000157698,0.006786194,-0.012890249,0.017753226,0.001559197,-1.52E-16
11,    Ap27A18,CRD,BEARTOOTH,yes,Slave,12390,87080,8924,256200,134400,18.45,784.6,7001,633.6,19.83,307.1,1.09,155.8,1.05,4.62,12.98,6.04,0.3,0.03051215,0.004531622,0.09,0.01,5.71,7.66,5.38,8.74,8.09,-0.80,2.95,5.14,2.74,-0.73,2.01,-3.63,1.33,-3.67,-2.18,-1.15,-1.92,-4.92,-7.20,-9.11,-6.12,-8.32,0.128163163,0.075285228,0.165380613,-0.054038767,-0.11434873,-0.112760701,-0.014609326,-0.039911933,7.73E-06,0.045899061,0.021201589,-0.012870543,0.037604758,-0.02328636,0.006948259,-0.02088496,0.013070049,0.013833987,0.007973184,0.015109386,-0.004036249,-3.09E-16
12,    Ap27A19,CRD,BEARTOOTH,yes,Slave,17200,84800,9743,256300,139900,23.97,1099,11840,646.5,19.02,289,0.3,170,1.12,6.32,0.148445586,5.89,0.32,0.1,0.003363568,0.02,0.003723749,6.28,7.88,5.71,8.98,8.38,-0.29,3.53,5.91,3.00,-0.52,2.20,-4.67,1.67,-3.36,-1.63,-5.38,-1.70,-4.61,-5.77,-9.16,-7.38,-9.06,-0.042818207,0.231225803,-0.038949977,0.053695978,-0.119127793,-0.204733224,0.017444484,-0.020174418,-0.076521885,0.030116777,-0.101749671,0.052487049,-0.00215137,0.061612365,-0.014477628,-0.026598645,-0.006401017,0.012599228,0.013158933,0.019314969,0.009614601,3.92E-16
13,    Ap27A20,CRD,BEARTOOTH,yes,Slave,16680,86610,10940,258100,122900,12.93,523.4,11660,646,19.06,324.1,0.047517672,198.3,1.23,10.04,0.79,9.46,0.28,0.02850292,0.004448429,0.04,0.01,6.24,7.88,5.82,8.98,8.23,-0.92,2.78,5.88,2.99,-0.54,2.30,-6.53,1.81,-3.28,-1.18,-3.72,-1.24,-4.76,-7.04,-8.90,-6.70,-8.09,0.079642199,0.197806007,-0.019009909,-0.080301917,-0.009903039,-0.130349805,0.016491989,0.045572145,0.021732326,0.011638523,-0.071917056,-0.035293246,0.014545435,-0.035376073,0.025742931,-0.01208209,-0.003831129,0.026631581,0.03083839,-0.007756229,0.002929427,2.08E-16
14,    Ap27A21,CRD,BEARTOOTH,yes,Slave,8801,93200,6889,257700,141700,10.59,284.8,5233,585.1,20.1,344.4,0.55,144.6,0.37,1.03,7.31,4.13,0.16,0.026761691,0.004354648,0.03,0.007730853,5.76,8.12,5.52,9.14,8.54,-0.96,2.33,5.24,3.05,-0.32,2.52,-3.92,1.65,-4.31,-3.29,-1.33,-1.90,-5.15,-6.94,-8.76,-6.83,-8.18,0.080496701,0.214066894,0.224722043,-0.050838308,0.055789794,-0.077223084,-0.035541706,-0.050170143,-0.04833925,6.63E-05,0.016712017,-0.000203425,0.044261544,-0.014386866,-0.002056892,-0.019851746,8.77E-05,0.011322733,-0.00083706,0.011994144,-0.007734008,-4.35E-16
15,    Ap27A22,CRD,BEARTOOTH,yes,Slave,7625,96800,5928,258600,142900,9.02,384.36,5668,708.4,28.66,425,5.04,231.2,0.53,2.83,172.7,7.06,0.21,0.07,0.006219384,0.37,0.12,4.92,7.46,4.67,8.45,7.85,-1.82,1.94,4.63,2.55,-0.66,2.04,-2.40,1.43,-4.65,-2.98,1.14,-2.06,-5.58,-6.68,-9.10,-5.01,-6.14,0.343773239,-0.089212917,0.360358116,-0.059840796,0.032596066,0.094661683,0.017431654,-0.113239414,-0.026428152,0.043521684,-0.065535228,0.017031756,0.042221108,0.001662303,0.01804809,0.007102097,-0.026088911,-0.015996801,0.00902427,-0.019052285,0.002940594,3.82E-17
