Sample,Mineral,Pipe,Diamond_High,Craton,Na,Mg,Al,Si,Ca,Sc,Ti,Mn,Sr,Y,Zr,Ba,Nd,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,Ta,Na_clr,Mg_clr,Al_clr,Si_clr,Ca_clr,Sc_clr,Ti_clr,Mn_clr,Sr_clr,Y_clr,Zr_clr,Ba_clr,Nd_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Er_clr,Yb_clr,Lu_clr,Ta_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
    Ap22D10,E,BEARTOOTH,yes,Slave,627.6,56100,74370,191100,28240,27.48,1236,1407,0.34,12.71,31.7,0.077468305,1.14,0.51,2.07,0.35,2.2,0.41,1.13,0.84,0.11,0.01,3.568509552,8.061497623,8.343414445,9.287158662,7.375101223,0.440064999,4.24624217,4.375821589,-3.95220313,-0.331004383,0.582923212,-5.431279857,-2.742365206,-3.546738022,-2.145844861,-3.923215593,-2.084936108,-3.764991588,-2.751175836,-3.047746856,-5.080668382,-7.478563654,-0.053377851,0.039229304,0.108905102,-0.225067242,0.08909193,-0.089859627,0.001313254,0.062760088,-0.016189757,-0.025619679,-0.016603052,-0.016362396,-0.048812205,-0.000973311,0.000128317,0.013830549,0.01369522,-0.000974192,0.010853786,0.013285125,0.006913475,-2.88E-16
    Ap22D11,E,BEARTOOTH,yes,Slave,483.2,37500,71800,185000,31540,36.9,1309,1738,0.41,33.94,2.96,0.055492414,0.16,0.12,0.65,0.26,3.34,1.16,4.47,6.65,1.13,0.006160144,3.293978664,7.64564423,8.295187773,9.241659122,7.472559878,0.721759569,4.290566784,4.574038323,-3.778050102,0.638142277,-1.801262714,-5.77796093,-4.719033446,-5.006715519,-3.317234898,-4.23352563,-1.680481175,-2.738031977,-1.389063574,-0.991835128,-2.76423435,-7.976107176,0.215120001,-0.225177696,0.313619204,0.257290624,-0.034347314,-0.001593681,-0.066017401,-0.02026584,0.025830938,0.064149668,0.057794927,-0.024967879,0.056216798,-0.028005864,0.00738695,0.009364583,0.015926455,0.009772497,-0.01187617,0.006007577,-0.003527826,2.08E-17
    Ap22D12,E,BEARTOOTH,yes,Slave,552.3,56930,73130,191600,39440,33.6,1329,1019,0.31,4.92,8.19,0.18,0.71,0.13,0.54,0.12,0.66,0.17,0.49,0.42,0.06,0.03,3.83929874,8.474785085,8.725201321,9.688372507,8.107743171,1.03973343,4.717389421,4.451784396,-3.645975619,-0.881484107,-0.371878739,-4.189591065,-2.817282946,-4.515013466,-3.090978777,-4.595056173,-2.890308081,-4.246749479,-3.188142525,-3.342293205,-5.288203354,-5.981350535,-0.320507811,0.174978942,0.129707293,-0.05974375,0.034604123,-0.077463545,-0.102584093,0.006416663,0.049582945,-0.015038966,-0.032775515,-0.043561114,-0.01360377,0.006744351,-0.025078896,0.007244441,-0.007817212,0.029281153,-0.002672843,0.01809332,0.001497677,-3.40E-16
    Ap22D13,E,BEARTOOTH,yes,Slave,298.638752,42460,75420,189500,59860,43.07,1297,1049,2.91,5.67,4.41,2.83,1.16,0.27,0.71,0.13,0.97,0.18,0.64,0.61,0.12,0.04,2.863625316,7.820708396,8.395218431,9.316534964,8.164154442,0.92721736,4.332199845,4.119983269,-1.767456258,-1.100420222,-1.35173465,-1.795332628,-2.687189334,-4.144942659,-3.178099648,-4.875830168,-2.866068547,-4.550407767,-3.281896442,-3.329905661,-4.955872876,-6.054485164,-0.340048614,0.061342138,-0.073297969,-0.075333414,0.005550022,-0.013569943,-0.065422474,-0.023574357,0.04227788,-0.015791042,0.014323267,0.007052871,0.064988732,-0.01543312,-0.021895793,0.003114785,-0.00696587,-0.022694237,-0.012265938,0.012161016,0.008531083,-5.55E-17
    Ap22D14,E,BEARTOOTH,yes,Slave,989.3,37050,70950,184400,40090,35.74,2010,1702,0.4,27.31,4.19,0.04123975,0.36,0.22,0.58,0.32,3.36,0.98,3.15,3.47,0.5,0.01,3.95915379,7.582179798,8.23188685,9.187018757,7.661038373,0.638426677,4.668046168,4.501715476,-3.854134565,0.369409103,-1.505143099,-6.126196508,-3.95949508,-4.451971565,-3.482571008,-4.077278116,-1.725902859,-2.95804654,-1.79044138,-1.693689239,-3.630991013,-7.543014019,0.110027549,-0.158067527,0.248630338,0.121512756,-0.018003834,-0.110667856,-0.059616131,-0.01012465,0.006303119,0.051625114,-0.001762064,-0.008122522,0.017003418,-0.044568077,0.027923792,-0.046772849,-0.036417958,-0.000722179,0.004347061,0.007048389,-0.005155256,-3.60E-17
    Ap22D15,E,BEARTOOTH,yes,Slave,276.0759885,26760,72700,180500,50550,46.68,1253,1853,1.97,32.41,12.09,18.76,1.28,0.66,2.82,0.59,4.75,1.09,3.58,3.84,0.6,0.04,2.034252304,6.60823967,7.607672819,8.517062213,7.24429438,0.256891963,3.546872111,3.938137382,-2.908390302,-0.107956827,-1.09404518,-0.654696901,-3.339563766,-4.001939288,-2.549686959,-4.114056586,-2.028279226,-3.500246148,-2.311061044,-2.240951478,-4.097249468,-6.805299669,-0.006500803,-0.333666792,-0.131326075,-0.055091273,0.069826147,0.03642093,0.038255567,0.016907233,0.081360545,0.006595126,-0.00046682,0.020168468,0.053663346,-0.005264809,0.016470172,0.007459165,0.001995836,-0.00063022,-0.008445074,0.007879041,0.00881008,1.11E-16
    Ap22D16,E,BEARTOOTH,yes,Slave,903.3,34450,71380,186300,59230,26.36,2139,1375,1.25,13.53,31,2.5,2.5,0.83,2.27,0.43,2.26,0.49,1.43,1.42,0.21,0.008045998,3.531929301,7.173138853,7.901647574,8.860988134,7.715058026,-0.002277713,4.393968286,3.952083587,-3.050981872,-0.669215981,0.159861782,-2.357834691,-2.357834691,-3.460455001,-2.454345591,-4.118095493,-2.45876061,-3.987475311,-2.916450979,-2.923468551,-4.834773171,-8.096705888,-0.129869291,-0.112425783,-0.061311617,-0.236954966,0.025302505,-0.119712851,0.110073582,-0.015225067,-0.02983562,-0.056863006,0.000876628,0.019777211,0.035517263,0.025156883,0.022865337,-0.001972074,-0.019647073,0.011125894,-0.013434185,-0.001535049,-0.003075221,3.00E-16
    Ap22D17,E,BEARTOOTH,yes,Slave,1752,26860,70570,180500,50430,48.7,1340,1851,0.48,31.35,14.04,0.46,1.26,0.7,2.89,0.72,4.7,1.11,3.27,3.45,0.48,0.01,4.091584033,6.821464232,7.787431166,8.726556818,7.451412277,0.508749792,3.823495655,4.146552074,-4.110898413,0.068285029,-0.73501884,-4.153458028,-3.145817517,-3.733604182,-2.315672736,-3.705433305,-1.82936673,-3.272569223,-2.192139254,-2.138555007,-4.110898413,-7.982099424,0.118832735,-0.21922339,0.028866257,-0.102509968,0.065085061,-0.149910482,0.109990102,0.010823166,0.026923229,0.019907978,-0.045179588,0.006953785,0.021888205,-7.68E-05,-0.007056398,0.006086708,-0.015888633,0.015428594,0.004412342,0.007160709,0.002292577,-3.33E-16
    Ap22D18,E,BEARTOOTH,yes,Slave,1125,36250,73430,183100,60360,28.5,2246,1384,1.65,14.74,34.62,2.28,2.81,0.96,2.95,0.4,2.63,0.64,1.62,1.4,0.2,0.007940779,3.672562351,7.145218696,7.851111886,8.764811767,7.655105949,-0.003071877,4.363930171,3.879757172,-2.852200676,-0.662411077,0.191455586,-2.528800521,-2.319791481,-3.393797959,-2.271170794,-4.269266696,-2.385992118,-3.799263067,-2.870549815,-3.016503727,-4.962413876,-8.188719894,-0.118212957,-0.122763671,-0.080172422,-0.251072262,0.027982656,-0.141012398,0.120181526,-0.00146446,-0.043734506,-0.059627792,7.46E-05,0.017423923,0.031717084,0.025915149,0.016233297,-0.021320839,0.022580212,0.016798636,0.006430824,-0.000528574,0.004187019,2.48E-16
    Ap22D19,E,BEARTOOTH,yes,Slave,333.1046065,36290,72860,184700,63730,61.1,2451,1762,2.65,21.04,6.69,5.69,0.76,0.38,1.73,0.39,3.47,0.85,2.36,2.59,0.41,0.02,2.435863336,7.126704262,7.823701833,8.753894928,7.68981745,0.739918628,4.431658145,4.101611568,-2.398033598,-0.32616785,-1.471979364,-1.63388299,-3.647030084,-4.340177264,-2.82447183,-4.314201778,-2.128438644,-3.535112168,-2.513931619,-2.420935362,-4.264191357,-7.284616243,-0.0638736,-0.230377447,-0.027346841,0.010352154,-0.021508323,0.016261582,0.004320135,0.053472148,0.029117425,-0.035680009,-0.016539605,0.010531623,0.07064692,-0.02485813,0.008732536,3.17E-05,0.011346024,0.005162032,-0.008943211,-0.00680667,0.007997204,3.34E-17
