Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Si,Cr,Mn,Co,Ni,Mg_clr,Si_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6
    Ap24I03,OL,KOALA,yes,Slave,131500,192000,90.62,731,94.52,1877,3.930205019,4.308693539,-3.349882172,-1.262143652,-3.307745659,-0.319127075,-0.093524898,-0.018524232,-0.247982533,0.003154578,0.046403704,-5.38E-17
    Ap24I04,OL,KOALA,yes,Slave,124800,192500,194.6,622,97.3,2186,3.755495554,4.188879251,-2.708026012,-1.546032089,-3.401173192,-0.289143513,0.09235161,-0.088908733,-0.125660783,0.012276155,0.059260166,-7.38E-16
    Ap24I05,OL,KOALA,yes,Slave,179700,194400,52.21,393.5,88.28,1924,4.390752811,4.469381909,-3.753017215,-1.733210194,-3.227777681,-0.146129631,-0.187710587,0.004654597,0.108318977,0.109981374,0.013954525,2.90E-16
    Ap24I06,OL,KOALA,yes,Slave,153700,194400,246,480.3,90.92,1985,3.95883664,4.193751881,-2.478589754,-1.809510381,-3.473941291,-0.390547096,0.181577215,-0.00027721,0.019782471,0.069723739,0.030943316,-2.43E-17
    Ap24I07,OL,KOALA,yes,Slave,133200,194200,283.5,709.5,101.1,1990,3.732936448,4.109973246,-2.419458466,-1.502110093,-3.450560463,-0.470780672,0.183614197,-0.025457098,-0.195559058,0.008554882,0.020972353,-9.37E-17
    Ap24I08,OL,KOALA,yes,Slave,171700,192700,105.9,457,97.63,2158,4.175554961,4.290940769,-3.215453833,-1.753265695,-3.296764262,-0.20101194,-0.033425345,-0.039845025,0.068383966,0.06040777,-0.001542744,2.49E-16
    Ap24I09,OL,KOALA,yes,Slave,195400,193000,98.79,513.7,97.32,2081,4.281721743,4.269363192,-3.30808589,-1.659442838,-3.323077758,-0.260478449,-0.048340386,0.022083578,0.026249065,0.025808165,-0.016129927,4.62E-16
    Ap24I10,OL,KOALA,yes,Slave,162800,193100,150.7,534.7,92.82,1966,4.069834969,4.240520705,-2.915151658,-1.648736922,-3.39978063,-0.346686463,0.055577472,0.013317254,-0.033624535,0.041542612,0.018284721,-7.46E-17
    Ap24I11,OL,KOALA,yes,Slave,185700,194100,173.4,566.9,105.1,2230,4.103809473,4.148050495,-2.87247721,-1.687895353,-3.373165996,-0.31832141,0.074712184,-0.010131685,-0.003985226,0.004486915,-0.026886386,3.54E-16
    Ap24I12,OL,KOALA,yes,Slave,143500,192400,182.9,575.2,108.7,2435,3.858861427,4.15210293,-2.806289332,-1.660511081,-3.326637093,-0.217526852,0.069650452,-0.121425069,-0.037425467,0.009579156,0.006203507,1.14E-16
    Ap24I13,OL,KOALA,yes,Slave,140100,193900,136.2,577.8,107.1,2388,3.891689031,4.21667514,-3.044298307,-1.599194913,-3.284659724,-0.180211227,-0.003887067,-0.123748591,-0.054340277,0.01795728,0.016607134,-5.03E-17
