Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Al,Si,Ca,V,Cr,Mn,Co,Ni,Mg_clr,Al_clr,Si_clr,Ca_clr,V_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9
    Ap24F15,OP,KOALA,yes,Slave,103800,2768,271600,2581,25.67,1654,743.9,45.08,642.9,4.062806938,0.438466005,5.024671363,0.368517888,-4.242091317,-0.076462437,-0.875507695,-3.678975623,-1.021425121,0.01849518,0.211870715,-0.028600634,-0.005819078,0.005815484,0.05482868,-0.080849298,-0.059165974,8.33E-17
    Ap24F18,OP,KOALA,yes,Slave,133700,2526,271300,2279,22.1,2305,575.4,34.6,545.2,4.367942209,0.398980748,5.075568944,0.296080475,-4.339833946,0.307424401,-1.080346103,-3.891557872,-1.134258855,-0.010678532,0.224196922,0.094910348,-0.008133411,-0.051116445,0.09923565,-0.011106034,-0.028282477,-1.80E-16
    Ap27F22,OP,KOALA,yes,Slave,141900,2927,272100,2547,18.35,1551,637.4,36.58,614,4.425723834,0.544579258,5.076770896,0.405517446,-4.527524454,-0.090498866,-0.979756627,-3.837652386,-1.017159101,-0.051554621,0.215650467,0.022974923,0.011722301,-0.07373298,0.028302209,-0.003305476,-0.027244819,-9.71E-17
    Ap27G03,OP,KOALA,yes,Slave,147400,3383,271000,2272,18.92,2400,656.3,502.3,21.68,4.481864968,0.707477878,5.090833809,0.309375489,-4.478820727,0.364183726,-0.932422289,-1.19984274,-4.342650114,0.046199944,-0.107390463,0.104043779,-0.098740697,-0.05550057,-0.00113517,0.028881805,-0.020736892,2.36E-16
    Ap27G04,OP,KOALA,yes,Slave,144500,2271,273200,2001,9.25,1838,500.7,468.5,14.88,4.710480323,0.557421078,5.347404943,0.430847871,-4.945930912,0.345878839,-0.954547345,-1.021018362,-4.470536434,-0.08301596,-0.159172256,0.142559331,-0.099865402,-0.172183987,-0.023572206,0.002182508,0.034197387,5.55E-17
    Ap27G05,OP,KOALA,yes,Slave,149100,2497,272400,2302,20.62,1760,646.9,536.1,20.57,4.548877508,0.459350297,5.15153186,0.378038596,-4.337233514,0.109574095,-0.89130327,-1.079174282,-4.339661289,0.012563855,-0.137429646,0.060067691,-0.058508747,-0.032520727,0.024536604,0.023807012,0.011896541,2.08E-16
    Ap27G06,OP,KOALA,yes,Slave,142600,2874,271800,1360,13.97,1030,533,482.1,18.16,4.702305317,0.797966597,5.347328311,0.049746509,-4.528581296,-0.228179388,-0.886972045,-0.987341908,-4.266272096,-0.086746833,-0.162289456,0.115686795,0.001967008,-0.024585135,-0.077246855,0.002752021,0.032969195,0
    Ap27G07,OP,KOALA,yes,Slave,120800,2317,271900,2397,19.5,2139,580,535,19.46,4.368864114,0.415001074,5.18016218,0.448945784,-4.362612985,0.335066258,-0.969999347,-1.050760704,-4.364666374,0.050534855,-0.132954851,0.091941637,-0.069733079,-0.066480287,0.057005844,-0.023502203,-0.003256192,5.55E-17
    Ap27G08,OP,KOALA,yes,Slave,136800,3043,272500,2072,25.47,1994,556.9,559.2,19.66,4.441673488,0.635997354,5.130792097,0.251667807,-4.147100507,0.213296154,-1.062216106,-1.058094605,-4.406015682,0.08007804,-0.126108868,0.130459453,-0.013066981,-0.015994766,0.045604128,0.021447327,-0.010998,-8.33E-17
    Ap27G09,OP,KOALA,yes,Slave,108500,2759,273500,2371,27.98,1856,645.7,612.5,15.85,4.226063748,0.55418187,5.150615197,0.402625382,-4.036951735,0.157737209,-0.898106705,-0.950892762,-4.605272204,0.106918911,-0.147530684,0.05409373,-0.043633361,0.01408796,0.044067624,-0.046822741,0.006355568,2.64E-16
